cellName,coverage_bool_vcf,depth_vcf,coverage_bool_gvcf,depth_gvcf
J8_B000580,1,"['2513', '3872', '11', '1', '4428', '4305', '3808', '4149', '3808', '3809', '3809', '3809', '3809', '3881', '4142', '5065', '3346', '223']",1,"['2513', '3872', '11', '1', '4428', '4305', '3808', '4149', '3808', '3809', '3809', '3809', '3809', '3881', '4142', '5065', '3346', '223']"
J8_B000862,1,"['2502', '2662', '3032', '3105', '3266']",1,"['2504', '8', '4', '1', '2459', '2828', '3095', '3118', '2877', '2877', '2877', '2877', '2877', '2877', '2877']"
J8_B001007,0,0,0,0
J8_B001470,1,"['46', '50', '130', '178', '195']",1,"['46', '50', '130', '178', '195']"
J8_B001548,1,"['14', '1017', '1203', '948', '953']",1,"['14', '1017', '1203', '948', '953']"
J8_B002571,1,"['1196', '1331', '882', '989', '1178']",1,"['1143', '1331', '881', '989', '1176']"
J8_B002573,1,"['118', '163', '125', '160', '106']",1,"['118', '163', '125', '160', '106']"
J8_B003126,1,"['717', '1147', '933', '878']",1,"['717', '1146', '931', '876']"
J8_B003191,1,"['876', '1144', '884']",1,"['1104', '884']"
J8_B003528,1,['18'],1,['18']
J8_B003659,1,"['41', '2527', '3', '3049', '3398', '3165', '3166']",1,"['42', '2539', '3057', '3234', '3003', '3006']"
J9_1001000407,1,"['240', '225', '274', '236']",1,"['483', '470', '547', '492']"
J9_1001000408,1,"['232', '519', '612', '573', '542']",1,"['436', '1', '1017', '1250', '1030', '1052', '837']"
J9_B001007,0,0,0,0
J9_B001475,1,['9'],1,['9']
J9_B001545,1,"['241', '358', '381', '263']",1,"['242', '325', '381', '263']"
J9_B001554,1,"['59', '158', '142', '118', '158', '155']",1,"['59', '158', '142', '118', '158', '155']"
J9_B001557,0,0,0,0
J9_B001558,1,"['52', '172', '216']",1,"['52', '172', '216']"
J9_B003119,1,708,1,708
J9_B003518,1,"['102', '137', '206', '270', '251', '250']",1,"['101', '137', '206', '270', '251', '250']"
J9_B003663,1,"['1375', '1610', '18', '13', '20', '11', '22', '27', '9', '11', '13', '3235', '4123', '4125', '3921', '3627', '3627', '3627', '3627', '3627', '3627', '3651', '3627', '3646', '3648', '3866', '3773', '3056']",1,"['1375', '1610', '18', '13', '20', '11', '22', '27', '9', '11', '13', '3235', '4123', '4125', '3921', '3627', '3627', '3627', '3627', '3627', '3627', '3651', '3627', '3646', '3648', '3866', '3773', '3056']"
J9_B003995,1,"['48', '25', '50', '74']",1,"['48', '25', '50', '74']"
K10_1001000412,1,"['15', '28']",1,"['34', '50']"
K10_B001470,1,"['77', '88', '109', '97']",1,"['77', '88', '109', '97']"
K10_B001474,1,"['20', '29', '53']",1,"['20', '29', '53']"
K10_B001548,1,29,1,29
K10_B001554,1,"['377', '586', '448', '474']",1,"['207', '377', '586', '448', '473']"
K10_B003113,1,"['81', '109', '49', '64', '183', '163']",1,"['81', '109', '49', '64', '183', '163']"
K10_B003527,1,"['12', '620', '758', '868', '875', '758', '36']",1,"['570', '758', '868', '875', '755', '36']"
K10_B003528,1,"['88', '88', '264', '224', '212', '155', '213']",1,"['88', '88', '264', '224', '212', '155', '213']"
K11_1001000407,1,"['103', '253', '225']",1,"['176', '2', '1', '505', '439', '425']"
K11_1001000412,1,"['1845', '1920', '2081', '1894', '1894', '2016', '1688', '1925', '1816', '1507']",1,"['1845', '1920', '2081', '1894', '1894', '2016', '1688', '1925', '1816', '1507']"
K11_B001545,1,"['123', '148', '204', '203', '237', '106', '239']",1,"['115', '148', '204', '203', '237', '106', '239']"
K11_B002573,1,"['106', '115', '93', '92']",1,"['106', '115', '93', '92']"
K11_B003113,1,5,1,5
K11_B003119,1,['100'],1,['100']
